id	message
FIRSTNAME_INVALID	The first name is invalid
LASTNAME_INVALID	The last name is invalid
PHONE_NUMBER_INVALID	The phone number is invalid
PHONE_CODE_HASH_EMPTY	The phone code hash is missing
PHONE_CODE_EMPTY	The phone code is missing
PHONE_CODE_EXPIRED	The confirmation code has expired
PHONE_CODE_INVALID	The confirmation code is invalid
API_ID_INVALID	The api_id/api_hash combination is invalid
PHONE_NUMBER_OCCUPIED	The phone number is already in use
PHONE_NUMBER_UNOCCUPIED	The phone number is not yet being used
USERS_TOO_FEW	Not enough users (to create a chat, for example)
USERS_TOO_MUCH	The maximum number of users has been exceeded (to create a chat, for example)
TYPE_CONSTRUCTOR_INVALID	The type constructor is invalid
FILE_PART_INVALID	The file part number is invalid. The value is not between 0 and 3999
FILE_PARTS_INVALID	Invalid number of parts. The value is not between 1 and 4000
FILE_PART_X_MISSING	Part {x} of the file is missing from storage
MD5_CHECKSUM_INVALID	The file's checksum did not match the md5_checksum parameter
PHOTO_INVALID_DIMENSIONS	The photo dimensions are invalid
FIELD_NAME_INVALID	The field with the name FIELD_NAME is invalid
FIELD_NAME_EMPTY	The field with the name FIELD_NAME is missing
MSG_WAIT_FAILED	A waiting call returned an error
PEER_ID_INVALID	The peer id being used is invalid or not known yet. Make sure you meet the peer before interacting with it
MESSAGE_EMPTY	The message sent is empty or contains invalid characters
ENCRYPTED_MESSAGE_INVALID	The special binding message (bind_auth_key_inner) contains invalid data
INPUT_METHOD_INVALID	The method invoked is invalid in the current schema
PASSWORD_HASH_INVALID	The two-step verification password is invalid
USERNAME_NOT_OCCUPIED	The username is not occupied by anyone
USERNAME_INVALID	The username is invalid
MESSAGE_ID_INVALID	The message id is invalid
MESSAGE_NOT_MODIFIED	The message was not modified because you tried to edit it using the same content
ENTITY_MENTION_USER_INVALID	The mentioned entity is not an user
MESSAGE_TOO_LONG	The message text is over 4096 characters
ACCESS_TOKEN_EXPIRED	The bot token has expired
BOT_METHOD_INVALID	The method can't be used by bots
QUERY_TOO_SHORT	The query is too short
SEARCH_QUERY_EMPTY	The search query is empty
CHAT_ID_INVALID	The chat id being used is invalid or not known yet. Make sure you see the chat before interacting with it
DATE_EMPTY	The date argument is empty
PERSISTENT_TIMESTAMP_EMPTY	The pts argument is empty
CDN_METHOD_INVALID	The method can't be used on CDN DCs
VOLUME_LOC_NOT_FOUND	The volume location can't be found
FILE_ID_INVALID	The file id is invalid
LOCATION_INVALID	The file location is invalid
CHAT_ADMIN_REQUIRED	The method requires chat admin privileges
PHONE_NUMBER_BANNED	The phone number is banned from Telegram and cannot be used
ABOUT_TOO_LONG	The provided about/bio text is too long
MULTI_MEDIA_TOO_LONG	The album/media group contains too many items
USERNAME_OCCUPIED	The username is already in use by someone else
BOT_INLINE_DISABLED	The inline feature of the bot is disabled
INLINE_RESULT_EXPIRED	The inline bot query expired
INVITE_HASH_INVALID	The invite link hash is invalid
USER_ALREADY_PARTICIPANT	The user is already a participant of this chat
TTL_MEDIA_INVALID	The media does not support self-destruction
MAX_ID_INVALID	The max_id parameter is invalid
CHANNEL_INVALID	The channel parameter is invalid
DC_ID_INVALID	The dc_id parameter is invalid
LIMIT_INVALID	The limit parameter is invalid
OFFSET_INVALID	The offset parameter is invalid
EMAIL_INVALID	The email provided is invalid
USER_IS_BOT	A bot cannot send messages to other bots or to itself
WEBPAGE_CURL_FAILED	Telegram server could not fetch the provided URL
STICKERSET_INVALID	The requested sticker set is invalid
PEER_FLOOD	The method can't be used because your account is currently limited
MEDIA_CAPTION_TOO_LONG	The media caption is longer than 1024 characters
USER_NOT_MUTUAL_CONTACT	The user is not a mutual contact
USER_CHANNELS_TOO_MUCH	The user is already in too many channels or supergroups
API_ID_PUBLISHED_FLOOD	You are using an API key that is limited on the server side because it was published somewhere
USER_NOT_PARTICIPANT	The user is not a member of this chat
CHANNEL_PRIVATE	The channel/supergroup is not accessible
MESSAGE_IDS_EMPTY	The requested message doesn't exist or you provided no message id
WEBPAGE_MEDIA_EMPTY	The URL doesn't contain any valid media
QUERY_ID_INVALID	The callback query id is invalid
MEDIA_EMPTY	The media you tried to send is invalid
USER_IS_BLOCKED	The user blocked you
YOU_BLOCKED_USER	You blocked this user
ADMINS_TOO_MUCH	The chat has too many administrators
BOTS_TOO_MUCH	The chat has too many bots
USER_ADMIN_INVALID	The action requires admin privileges. Probably you tried to edit admin privileges on someone you don't have rights to
INPUT_USER_DEACTIVATED	The target user has been deleted/deactivated
PASSWORD_RECOVERY_NA	The password recovery e-mail is not available
PASSWORD_EMPTY	The password provided is empty
PHONE_NUMBER_FLOOD	This number has tried to login too many times
TAKEOUT_INVALID	The takeout id is invalid
TAKEOUT_REQUIRED	The method must be invoked inside a takeout session
MESSAGE_POLL_CLOSED	You can't interact with a closed poll
MEDIA_INVALID	The media is invalid
BOT_SCORE_NOT_MODIFIED	The bot score was not modified
USER_BOT_REQUIRED	The method can be used by bots only
IMAGE_PROCESS_FAILED	The server failed to process your image
USERNAME_NOT_MODIFIED	The username was not modified because you tried to edit it using the same one
CALL_ALREADY_ACCEPTED	The call is already accepted
CALL_ALREADY_DECLINED	The call is already declined
PHOTO_EXT_INVALID	The photo extension is invalid
EXTERNAL_URL_INVALID	The external media URL is invalid
CHAT_NOT_MODIFIED	The chat settings (title, permissions, photo, etc..) were not modified because you tried to edit them using the same content
RESULTS_TOO_MUCH	The result contains too many items
RESULT_ID_DUPLICATE	The result contains items with duplicated identifiers
ACCESS_TOKEN_INVALID	The bot access token is invalid
INVITE_HASH_EXPIRED	The chat invite link is no longer valid
USER_BANNED_IN_CHANNEL	You are limited from sending messages in supergroups/channels, check @SpamBot for details
MESSAGE_EDIT_TIME_EXPIRED	You can no longer edit this message because too much time has passed
FOLDER_ID_INVALID	The folder id is invalid
MEGAGROUP_PREHISTORY_HIDDEN	The action failed because the supergroup has the pre-history hidden
CHAT_LINK_EXISTS	The action failed because the supergroup is linked to a channel
LINK_NOT_MODIFIED	The chat link was not modified because you tried to link to the same target
BROADCAST_ID_INVALID	The channel is invalid
MEGAGROUP_ID_INVALID	The supergroup is invalid
BUTTON_DATA_INVALID	The button callback data contains invalid data or exceeds 64 bytes
START_PARAM_INVALID	The start parameter is invalid
ARTICLE_TITLE_EMPTY	The article title is empty
FILE_PART_TOO_BIG	The size limit (512 KB) for the content of the file part has been exceeded
FILE_PART_EMPTY	The file part sent is empty
FILE_PART_SIZE_INVALID	512 KB cannot be evenly divided by part_size
FILE_PART_SIZE_CHANGED	The part size is different from the size of one of the previous parts in the same file
FILE_MIGRATE_X	The file is in Data Center No. {x}
RESULT_TYPE_INVALID	The result type is invalid
PHOTO_THUMB_URL_EMPTY	The photo thumb URL is empty
PHOTO_THUMB_URL_INVALID	The photo thumb URL is invalid
PHOTO_CONTENT_URL_EMPTY	The photo content URL is empty
PHOTO_CONTENT_TYPE_INVALID	The photo content type is invalid
WEBDOCUMENT_INVALID	The web document is invalid
WEBDOCUMENT_URL_EMPTY	The web document URL is empty
WEBDOCUMENT_URL_INVALID	The web document URL is invalid
WEBDOCUMENT_MIME_INVALID	The web document mime type is invalid
BUTTON_URL_INVALID	The button url is invalid
AUTH_BYTES_INVALID	The authorization bytes are invalid
USER_ID_INVALID	The user id being used is invalid or not known yet. Make sure you meet the user before interacting with it
CHANNELS_TOO_MUCH	You have joined too many channels or supergroups, leave some and try again
ADMIN_RANK_INVALID	The custom administrator title is invalid or is longer than 16 characters
ADMIN_RANK_EMOJI_NOT_ALLOWED	Emoji are not allowed in custom administrator titles
FILE_REFERENCE_EMPTY	The file reference is empty
FILE_REFERENCE_INVALID	The file reference is invalid
REPLY_MARKUP_TOO_LONG	The reply markup is too long
SECONDS_INVALID	The seconds interval is invalid, for slow mode try with 0 (off), 10, 30, 60 (1m), 300 (5m), 900 (15m) or 3600 (1h)
QUIZ_MULTIPLE_INVALID	A quiz can't have multiple answers
QUIZ_CORRECT_ANSWERS_EMPTY	The correct answers of the quiz are empty
QUIZ_CORRECT_ANSWER_INVALID	The correct answers of the quiz are invalid
QUIZ_CORRECT_ANSWERS_TOO_MUCH	The quiz contains too many correct answers
OPTIONS_TOO_MUCH	The poll options are too many
POLL_ANSWERS_INVALID	The poll answers are invalid
POLL_QUESTION_INVALID	The poll question is invalid
FRESH_CHANGE_ADMINS_FORBIDDEN	You can't change administrator settings in this chat because your session was logged-in recently
BROADCAST_PUBLIC_VOTERS_FORBIDDEN	Polls with public voters cannot be sent in channels
INPUT_FILTER_INVALID	The filter is invalid for this query
EMOTICON_EMPTY	The emoticon parameter is empty
EMOTICON_INVALID	The emoticon parameter is invalid
VIDEO_FILE_INVALID	The video file is invalid
PRIVACY_TOO_LONG	Your privacy exception list has exceeded the maximum capacity
ALBUM_PHOTOS_TOO_MANY	Too many photos were included in the album
AUDIO_TITLE_EMPTY	The title attribute of the audio is empty
AUTH_TOKEN_ALREADY_ACCEPTED	The authorization token was already used
AUTH_TOKEN_EXPIRED	The provided authorization token has expired and the updated QR-code must be re-scanned
AUTH_TOKEN_INVALID	An invalid authorization token was provided
AUTOARCHIVE_NOT_AVAILABLE	This feature is not yet enabled for your account due to it not receiving too many private messages from strangers
BANK_CARD_NUMBER_INVALID	The credit card number is invalid
BANNED_RIGHTS_INVALID	You provided a set of restrictions that is invalid
BOT_CHANNELS_NA	Bots can't edit admin privileges
BOT_COMMAND_DESCRIPTION_INVALID	The command description was empty, too long or had invalid characters
BOT_DOMAIN_INVALID	The domain used for the auth button does not match the one configured in @BotFather
BOT_GAMES_DISABLED	Bot games cannot be used in this type of chat
BOT_GROUPS_BLOCKED	This bot can't be added to groups
BOT_INVALID	This is not a valid bot
BOT_MISSING	This method can only be run by a bot
BOT_PAYMENTS_DISABLED	This method can only be run by a bot
BOT_POLLS_DISABLED	Sending polls by bots has been disabled
BOT_RESPONSE_TIMEOUT	The bot did not answer to the callback query in time
BROADCAST_REQUIRED	The request can only be used with a channel
BUTTON_TYPE_INVALID	The type of one of the buttons you provided is invalid
CALL_PEER_INVALID	The provided call peer object is invalid
CALL_PROTOCOL_FLAGS_INVALID	Call protocol flags invalid
CHANNELS_ADMIN_PUBLIC_TOO_MUCH	You are an administrator of too many public channels
CHANNEL_BANNED	The channel is banned
CHAT_ABOUT_NOT_MODIFIED	The chat about text was not modified because you tried to edit it using the same content
CHAT_ABOUT_TOO_LONG	The chat about text is too long
CHAT_ID_EMPTY	The provided chat id is empty
CHAT_INVALID	The chat is invalid
CHAT_RESTRICTED	The chat is restricted and cannot be used
CHAT_SEND_INLINE_FORBIDDEN	You cannot use inline bots to send messages in this chat
CHAT_TITLE_EMPTY	The chat title is empty
CODE_EMPTY	The provided code is empty
CODE_HASH_INVALID	The provided code hash invalid
CODE_INVALID	The provided code is invalid (i.e. from email)
CONNECTION_API_ID_INVALID	The provided API id is invalid
CONNECTION_DEVICE_MODEL_EMPTY	The device model is empty
CONNECTION_LANG_PACK_INVALID	The specified language pack is not valid
CONNECTION_LAYER_INVALID	The connection layer is invalid. Missing InvokeWithLayer-InitConnection call
CONNECTION_NOT_INITED	The connection was not initialized
CONNECTION_SYSTEM_EMPTY	The connection to the system is empty
CONNECTION_SYSTEM_LANG_CODE_EMPTY	The system language code is empty
CONTACT_ID_INVALID	The provided contact id is invalid
CONTACT_NAME_EMPTY	The provided contact name is empty
DATA_INVALID	The encrypted data is invalid
DATA_JSON_INVALID	The provided JSON data is invalid
DH_G_A_INVALID	The g_a parameter invalid
DOCUMENT_INVALID	The document is invalid
EMAIL_HASH_EXPIRED	The email hash expired and cannot be used to verify it
EMAIL_UNCONFIRMED_X	Email unconfirmed, the length of the code must be {x}
EMOTICON_STICKERPACK_MISSING	The emoticon sticker pack you are trying to obtain is missing
ENCRYPTION_ALREADY_ACCEPTED	The secret chat is already accepted
ENCRYPTION_ALREADY_DECLINED	The secret chat is already declined
ENCRYPTION_DECLINED	The secret chat was declined
ENCRYPTION_ID_INVALID	The provided secret chat id is invalid
ENTITIES_TOO_LONG	The entity provided contains data that is too long, or you passed too many entities to this message
ERROR_TEXT_EMPTY	The provided error message is empty
EXPORT_CARD_INVALID	The provided card is invalid
FILE_PART_LENGTH_INVALID	The length of a file part is invalid
FILE_REFERENCE_EXPIRED	The file reference has expired and is no longer valid or it belongs to self-destructing media and cannot be resent
FOLDER_ID_EMPTY	The folder you tried to delete was already empty
GAME_BOT_INVALID	You cannot send that game with the current bot
GIF_ID_INVALID	The provided gif/animation id is invalid
GRAPH_OUTDATED_RELOAD	The graph data is outdated
GROUPED_MEDIA_INVALID	The album contains invalid media
HASH_INVALID	The provided hash is invalid
INPUT_CONSTRUCTOR_INVALID	The provided constructor is invalid
INPUT_FETCH_ERROR	An error occurred while deserializing TL parameters
INPUT_FETCH_FAIL	Failed deserializing TL payload
INPUT_LAYER_INVALID	The provided layer is invalid
INPUT_REQUEST_TOO_LONG	The input request is too long
INVITE_HASH_EMPTY	The invite hash is empty
LANG_PACK_INVALID	The provided language pack is invalid
MAX_QTS_INVALID	The provided QTS is invalid
MEDIA_NEW_INVALID	The new media to edit the message with is invalid
MEDIA_PREV_INVALID	The previous media cannot be edited with anything else
MEGAGROUP_REQUIRED	The request can only be used with a supergroup
METHOD_INVALID	The API method is invalid and cannot be used
MSG_ID_INVALID	The message ID used in the peer was invalid
NEW_SALT_INVALID	The new salt is invalid
NEW_SETTINGS_INVALID	The new settings are invalid
