id	message
ABOUT_TOO_LONG	The provided about/bio text is too long
ACCESS_TOKEN_EXPIRED	The bot token has expired
ACCESS_TOKEN_INVALID	The bot access token is invalid
ADMINS_TOO_MUCH	The chat has too many administrators
ADMIN_RANK_EMOJI_NOT_ALLOWED	Emoji are not allowed in custom administrator titles
ADMIN_RANK_INVALID	The custom administrator title is invalid or too long
ALBUM_PHOTOS_TOO_MANY	Too many photos were included in the album
API_ID_INVALID	The api_id/api_hash combination is invalid
API_ID_PUBLISHED_FLOOD	You are using an API key that is limited on the server side because it was published somewhere
ARTICLE_TITLE_EMPTY	The article title is empty
AUDIO_TITLE_EMPTY	The title attribute of the audio is empty
AUTH_BYTES_INVALID	The authorization bytes are invalid
AUTH_TOKEN_ALREADY_ACCEPTED	The authorization token was already used
AUTH_TOKEN_EXPIRED	The provided authorization token has expired and the updated QR-code must be re-scanned
AUTH_TOKEN_INVALID	An invalid authorization token was provided
AUTOARCHIVE_NOT_AVAILABLE	This feature is not yet enabled for your account due to it not receiving too many private messages from strangers
BANK_CARD_NUMBER_INVALID	The credit card number is invalid
BANNED_RIGHTS_INVALID	You provided a set of restrictions that is invalid
BASE_PORT_LOC_INVALID	The base port location is invalid
BOTS_TOO_MUCH	The chat has too many bots
BOT_CHANNELS_NA	Bots can't edit admin privileges
BOT_COMMAND_DESCRIPTION_INVALID	The command description was empty, too long or had invalid characters
BOT_DOMAIN_INVALID	The domain used for the auth button does not match the one configured in @BotFather
BOT_GAMES_DISABLED	Bot games cannot be used in this type of chat
BOT_GROUPS_BLOCKED	This bot can't be added to groups
BOT_INLINE_DISABLED	The inline feature of the bot is disabled
BOT_INVALID	This is not a valid bot
BOT_METHOD_INVALID	The method can't be used by bots
BOT_MISSING	This method can only be run by a bot
BOT_PAYMENTS_DISABLED	This method can only be run by a bot
BOT_POLLS_DISABLED	Sending polls by bots has been disabled
BOT_RESPONSE_TIMEOUT	The bot did not answer to the callback query in time
BOT_SCORE_NOT_MODIFIED	The bot score was not modified
BROADCAST_ID_INVALID	The channel is invalid
BROADCAST_PUBLIC_VOTERS_FORBIDDEN	Polls with public voters cannot be sent in channels
BROADCAST_REQUIRED	The request can only be used with a channel
BUTTON_DATA_INVALID	The button callback data is invalid or too large
BUTTON_TYPE_INVALID	The type of one of the buttons you provided is invalid
BUTTON_URL_INVALID	The button url is invalid
CALL_ALREADY_ACCEPTED	The call is already accepted
CALL_ALREADY_DECLINED	The call is already declined
CALL_PEER_INVALID	The provided call peer object is invalid
CALL_PROTOCOL_FLAGS_INVALID	Call protocol flags invalid
CDN_METHOD_INVALID	The method can't be used on CDN DCs
CHANNELS_ADMIN_PUBLIC_TOO_MUCH	You are an administrator of too many public channels
CHANNELS_TOO_MUCH	You have joined too many channels or supergroups, leave some and try again
CHANNEL_ADD_INVALID	Internal error.
CHANNEL_BANNED	The channel is banned
CHANNEL_INVALID	The channel parameter is invalid
CHANNEL_PRIVATE	The channel/supergroup is not accessible
CHANNEL_TOO_LARGE	The channel is too large
CHAT_ABOUT_NOT_MODIFIED	The chat about text was not modified because you tried to edit it using the same content
CHAT_ABOUT_TOO_LONG	The chat about text is too long
CHAT_ADMIN_REQUIRED	The method requires chat admin privileges
CHAT_FORWARDS_RESTRICTED	The chat restricts forwarding content
CHAT_ID_EMPTY	The provided chat id is empty
CHAT_ID_INVALID	The chat id being used is invalid or not known yet. Make sure you see the chat before interacting with it
CHAT_INVALID	The chat is invalid
CHAT_INVITE_PERMANENT	The chat invite link is primary
CHAT_LINK_EXISTS	The action failed because the supergroup is linked to a channel
CHAT_NOT_MODIFIED	The chat settings (title, permissions, photo, etc..) were not modified because you tried to edit them using the same content
CHAT_RESTRICTED	The chat is restricted and cannot be used
CHAT_SEND_INLINE_FORBIDDEN	You cannot use inline bots to send messages in this chat
CHAT_TITLE_EMPTY	The chat title is empty
CHAT_TOO_BIG	The chat is too big for this action
CODE_EMPTY	The provided code is empty
CODE_HASH_INVALID	The provided code hash invalid
CODE_INVALID	The provided code is invalid (i.e. from email)
CONNECTION_API_ID_INVALID	The provided API id is invalid
CONNECTION_APP_VERSION_EMPTY	App version is empty
CONNECTION_DEVICE_MODEL_EMPTY	The device model is empty
CONNECTION_LANG_PACK_INVALID	The specified language pack is not valid
CONNECTION_LAYER_INVALID	The connection layer is invalid. Missing InvokeWithLayer-InitConnection call
CONNECTION_NOT_INITED	The connection was not initialized
CONNECTION_SYSTEM_EMPTY	The connection to the system is empty
CONNECTION_SYSTEM_LANG_CODE_EMPTY	The system language code is empty
CONTACT_ADD_MISSING	Contact to add is missing
CONTACT_ID_INVALID	The provided contact id is invalid
CONTACT_NAME_EMPTY	The provided contact name is empty
CONTACT_REQ_MISSING	Missing contact request
DATA_INVALID	The encrypted data is invalid
DATA_JSON_INVALID	The provided JSON data is invalid
DATA_TOO_LONG	Data too long
DATE_EMPTY	The date argument is empty
DC_ID_INVALID	The dc_id parameter is invalid
DH_G_A_INVALID	The g_a parameter invalid
DOCUMENT_INVALID	The document is invalid
EMAIL_HASH_EXPIRED	The email hash expired and cannot be used to verify it
EMAIL_INVALID	The email provided is invalid
EMAIL_UNCONFIRMED	Email unconfirmed
EMAIL_UNCONFIRMED_X	The provided email isn't confirmed, {value} is the length of the verification code that was just sent to the email
EMAIL_VERIFY_EXPIRED	The verification email has expired
EMOTICON_EMPTY	The emoticon parameter is empty
EMOTICON_INVALID	The emoticon parameter is invalid
EMOTICON_STICKERPACK_MISSING	The emoticon sticker pack you are trying to obtain is missing
ENCRYPTED_MESSAGE_INVALID	The special binding message (bind_auth_key_inner) contains invalid data
ENCRYPTION_ALREADY_ACCEPTED	The secret chat is already accepted
ENCRYPTION_ALREADY_DECLINED	The secret chat is already declined
ENCRYPTION_DECLINED	The secret chat was declined
ENCRYPTION_ID_INVALID	The provided secret chat id is invalid
ENTITIES_TOO_LONG	The entity provided contains data that is too long, or you passed too many entities to this message
ENTITY_MENTION_USER_INVALID	The mentioned entity is not an user
ERROR_TEXT_EMPTY	The provided error message is empty
EXPIRE_DATE_INVALID	The expiration date is invalid
EXPORT_CARD_INVALID	The provided card is invalid
EXTERNAL_URL_INVALID	The external media URL is invalid
FIELD_NAME_EMPTY	The field with the name FIELD_NAME is missing
FIELD_NAME_INVALID	The field with the name FIELD_NAME is invalid
FILE_ID_INVALID	The file id is invalid
FILE_MIGRATE_X	The file is in Data Center No. {value}
FILE_PARTS_INVALID	Invalid number of parts.
FILE_PART_EMPTY	The file part sent is empty
FILE_PART_INVALID	The file part number is invalid.
FILE_PART_LENGTH_INVALID	The length of a file part is invalid
FILE_PART_SIZE_CHANGED	The part size is different from the size of one of the previous parts in the same file
FILE_PART_SIZE_INVALID	The file part size is invalid
FILE_PART_TOO_BIG	The size limit for the content of the file part has been exceeded
FILE_PART_X_MISSING	Part {value} of the file is missing from storage
FILE_REFERENCE_EMPTY	The file id contains an empty file reference, you must obtain a valid one by fetching the message from the origin context
FILE_REFERENCE_EXPIRED	The file id contains an expired file reference, you must obtain a valid one by fetching the message from the origin context
FILE_REFERENCE_INVALID	The file id contains an invalid file reference, you must obtain a valid one by fetching the message from the origin context
FILTER_ID_INVALID	The specified filter ID is invalid
FIRSTNAME_INVALID	The first name is invalid
FOLDER_ID_EMPTY	The folder you tried to delete was already empty
FOLDER_ID_INVALID	The folder id is invalid
FRESH_CHANGE_ADMINS_FORBIDDEN	You can't change administrator settings in this chat because your session was logged-in recently
FROM_MESSAGE_BOT_DISABLED	Bots can't use fromMessage min constructors
FROM_PEER_INVALID	The from peer value is invalid
GAME_BOT_INVALID	You cannot send that game with the current bot
GEO_POINT_INVALID	Invalid geo point provided
GIF_CONTENT_TYPE_INVALID	GIF content-type invalid
GIF_ID_INVALID	The provided gif/animation id is invalid
GRAPH_INVALID_RELOAD	Invalid graph token provided, please reload the stats and provide the updated token
GRAPH_OUTDATED_RELOAD	The graph data is outdated
GROUPCALL_SSRC_DUPLICATE_MUCH	Too many group call synchronization source duplicates
GROUPED_MEDIA_INVALID	The album contains invalid media
GROUP_CALL_INVALID	The group call is invalid
HASH_INVALID	The provided hash is invalid
IMAGE_PROCESS_FAILED	The server failed to process your image
IMPORT_FILE_INVALID	The imported file is invalid
IMPORT_FORMAT_UNRECOGNIZED	The imported format is unrecognized
IMPORT_ID_INVALID	The import id is invalid
INLINE_RESULT_EXPIRED	The inline bot query expired
INPUT_CONSTRUCTOR_INVALID	The provided constructor is invalid
INPUT_FETCH_ERROR	An error occurred while deserializing TL parameters
INPUT_FETCH_FAIL	Failed deserializing TL payload
INPUT_FILTER_INVALID	The filter is invalid for this query
INPUT_LAYER_INVALID	The provided layer is invalid
INPUT_METHOD_INVALID	The method invoked is invalid in the current schema
INPUT_REQUEST_TOO_LONG	The input request is too long
INPUT_USER_DEACTIVATED	The target user has been deleted/deactivated
INVITE_HASH_EMPTY	The invite hash is empty
INVITE_HASH_EXPIRED	The chat invite link is no longer valid
INVITE_HASH_INVALID	The invite link hash is invalid
INVITE_REVOKED_MISSING	The action required a chat invite link to be revoked first
LANG_PACK_INVALID	The provided language pack is invalid
LASTNAME_INVALID	The last name is invalid
LIMIT_INVALID	The limit parameter is invalid
LINK_NOT_MODIFIED	The chat link was not modified because you tried to link to the same target
LOCATION_INVALID	The file location is invalid
MAX_ID_INVALID	The max_id parameter is invalid
MAX_QTS_INVALID	The provided QTS is invalid
MD5_CHECKSUM_INVALID	The file's checksum did not match the md5_checksum parameter
MEDIA_CAPTION_TOO_LONG	The media caption is too long
MEDIA_EMPTY	The media you tried to send is invalid
MEDIA_INVALID	The media is invalid
MEDIA_NEW_INVALID	The new media to edit the message with is invalid
MEDIA_PREV_INVALID	The previous media cannot be edited with anything else
MEGAGROUP_ID_INVALID	The supergroup is invalid
MEGAGROUP_PREHISTORY_HIDDEN	The action failed because the supergroup has the pre-history hidden
MEGAGROUP_REQUIRED	The request can only be used with a supergroup
MESSAGE_EDIT_TIME_EXPIRED	You can no longer edit this message because too much time has passed
MESSAGE_EMPTY	The message sent is empty or contains invalid characters
MESSAGE_IDS_EMPTY	The requested message doesn't exist or you provided no message id
MESSAGE_ID_INVALID	The message id is invalid
MESSAGE_NOT_MODIFIED	The message was not modified because you tried to edit it using the same content
MESSAGE_POLL_CLOSED	You can't interact with a closed poll
MESSAGE_TOO_LONG	The message text is too long
METHOD_INVALID	The API method is invalid and cannot be used
MSG_ID_INVALID	The message ID used in the peer was invalid
MSG_WAIT_FAILED	A waiting call returned an error
MULTI_MEDIA_TOO_LONG	The album/media group contains too many items
NEW_SALT_INVALID	The new salt is invalid
NEW_SETTINGS_INVALID	The new settings are invalid
NEXT_OFFSET_INVALID	The next offset value is invalid
OFFSET_INVALID	The offset parameter is invalid
OFFSET_PEER_ID_INVALID	The provided offset peer is invalid
OPTIONS_TOO_MUCH	The poll options are too many
OPTION_INVALID	The option specified is invalid and does not exist in the target poll
PACK_SHORT_NAME_INVALID	Invalid sticker pack name. It must begin with a letter, can't contain consecutive underscores and must end in '_by_<bot username>'.
PACK_SHORT_NAME_OCCUPIED	A sticker pack with this name already exists
PACK_TITLE_INVALID	The sticker pack title is invalid
PARTICIPANTS_TOO_FEW	The chat doesn't have enough participants
PARTICIPANT_VERSION_OUTDATED	The other participant is using an outdated Telegram app version
PASSWORD_EMPTY	The password provided is empty
PASSWORD_HASH_INVALID	The two-step verification password is invalid
PASSWORD_MISSING	The account is missing the two-step verification password
PASSWORD_RECOVERY_NA	The password recovery e-mail is not available
PASSWORD_REQUIRED	The two-step verification password is required for this method
PASSWORD_TOO_FRESH_X	The two-step verification password was added recently and you are required to wait {value} seconds
PAYMENT_PROVIDER_INVALID	The payment provider was not recognised or its token was invalid
PEER_FLOOD	The method can't be used because your account is currently limited
PEER_ID_INVALID	The peer id being used is invalid or not known yet. Make sure you meet the peer before interacting with it
PEER_ID_NOT_SUPPORTED	The provided peer id is not supported
PERSISTENT_TIMESTAMP_EMPTY	The pts argument is empty
PERSISTENT_TIMESTAMP_INVALID	The persistent timestamp is invalid
PHONE_CODE_EMPTY	The phone code is missing
